Team,Match Played,Players,Batsman Runs,Balls,Fours,Sixes,Strike Rate,Over,Bowler Balls,Maiden,Bowler Runs,Wickets,Economy Rate,Catches,Run Out,50s,100s,Vs,Times Out
Mumbai Indians,1,Rohit Sharma,19,15,1,1,126.67,0.0,0,0,0,0,0.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Chris Lynn,49,35,4,3,140.0,0.0,0,0,0,0,0.0,2,0,0,0,RCB,Yes
Mumbai Indians,1,Suryakumar Yadav,31,23,4,1,134.78,0.0,0,0,0,0,0.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Ishan Kishan,28,19,2,1,147.37,0.0,0,0,0,0,0.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Hardik Pandya,13,10,2,0,130.0,0.0,0,0,0,0,0.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Kieron Pollard,7,9,1,0,77.78,0.0,0,0,0,0,0.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Krunal Pandya,7,7,1,0,100.0,4.0,24,0,25,1,6.3,1,1,0,0,RCB,Yes
Mumbai Indians,1,Marco Jansen,0,2,0,0,0.0,4.0,24,0,28,2,7.0,0,0,0,0,RCB,Yes
Mumbai Indians,1,Rahul Chahar,0,0,0,0,0.0,4.0,24,0,43,0,10.8,1,0,0,0,RCB,Yes
Mumbai Indians,1,Jasprit Bumrah,1,2,0,0,50.0,4.0,24,0,26,2,6.5,0,1,0,0,RCB,No
Mumbai Indians,1,Trent Boult,0,0,0,0,0.0,4.0,24,0,36,1,9.0,0,0,0,0,RCB,No
Royal Challengers Banglore,1,Washington Sundar,10,16,0,0,62.5,1.0,6,0,7,1,7.0,2,0,0,0,MI,Yes
Royal Challengers Banglore,1,Virat Kohli,33,29,4,0,113.79,0.0,0,0,0,0,0.0,0,2,0,0,MI,Yes
Royal Challengers Banglore,1,Rajat Patidar,8,8,1,0,100.0,0.0,0,0,0,0,0.0,0,0,0,0,MI,Yes
Royal Challengers Banglore,1,Glenn Maxwell,39,28,3,2,139.29,0.0,0,0,0,0,0.0,0,0,0,0,MI,Yes
Royal Challengers Banglore,1,AB de Villiers,48,27,4,2,177.78,0.0,0,0,0,0,0.0,1,0,0,0,MI,Yes
Royal Challengers Banglore,1,Shahbaz Ahmed,1,2,0,0,50.0,1.0,6,0,14,0,14.0,0,0,0,0,MI,Yes
Royal Challengers Banglore,1,Daniel Christian,1,3,0,0,33.33,2.0,12,0,21,0,10.5,1,0,0,0,MI,Yes
Royal Challengers Banglore,1,Kyle Jamieson,4,4,0,0,100.0,4.0,24,0,27,1,6.8,0,0,0,0,MI,Yes
Royal Challengers Banglore,1,Harshal Patel,4,3,0,0,133.33,4.0,24,0,27,5,6.8,0,0,0,0,MI,No
Royal Challengers Banglore,1,Mohammed Siraj,0,1,0,0,0.0,4.0,24,0,22,0,5.5,0,0,0,0,MI,No
Royal Challengers Banglore,1,Yuzvendra Chahal,0,0,0,0,0.0,4.0,24,0,41,0,10.3,0,0,0,0,MI,No
Chennai Super Kings,1,Rituraj Gaikwad,5,8,1,0,62.5,0.0,0,0,0,0,0.0,0,0,0,0,DC,Yes
Chennai Super Kings,1,du Plessis,0,3,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Moeen Ali,36,24,4,2,150.0,3.0,18,0,33,0,11.0,1,0,0,0,DC,Yes
Chennai Super Kings,1,Suresh Raina,54,36,3,4,150.0,0.0,0,0,0,0,0.0,0,0,1,0,DC,Yes
Chennai Super Kings,1,Ambati Rayudu,23,16,1,2,143.75,0.0,0,0,0,0,0.0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Ravindra Jadeja,26,17,3,0,152.94,2.0,12,0,16,0,8.0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Dhoni,0,2,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,DC,Yes
Chennai Super Kings,1,Sam Curran,34,15,4,2,226.67,2.0,12,0,24,0,12.0,1,0,0,0,DC,Yes
Chennai Super Kings,1,DJ Bravo,0,0,0,0,0.0,4.0,24,0,28,1,7.0,0,0,0,0,DC,No
Chennai Super Kings,1,Shardul Thakur,0,0,0,0,0.0,3.4,22,0,53,2,14.5,0,0,0,0,DC,No
Chennai Super Kings,1,Deepak Chahar,0,0,0,0,0.0,4.0,24,0,36,0,9.0,0,0,0,0,DC,No
Delhi Capitals,1,Prithvi Shaw,72,38,9,3,189.47,0.0,0,0,0,0,0.0,0,0,1,0,CSK,Yes
Delhi Capitals,1,Shikhar Dhawan,85,54,10,2,157.41,0.0,0,0,0,0,0.0,3,0,1,0,CSK,Yes
Delhi Capitals,1,Rishabh Pant,15,12,2,0,125.0,0.0,0,0,0,0,0.0,0,0,0,0,CSK,No
Delhi Capitals,1,Marcus Stoinis,14,9,3,0,155.56,2.0,12,0,26,0,13.0,0,0,0,0,CSK,Yes
Delhi Capitals,1,Shimron Hetymer,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,CSK,No
Delhi Capitals,1,Ajinkya Rahane,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,CSK,No
Delhi Capitals,1,Chris Woakes,0,0,0,0,0.0,3.0,18,0,18,2,6.0,0,1,0,0,CSK,No
Delhi Capitals,1,Ravi Ashwin,0,0,0,0,0.0,4.0,24,0,47,1,11.8,0,0,0,0,CSK,No
Delhi Capitals,1,Tom Curran,0,0,0,0,0.0,4.0,24,0,40,1,10.0,0,0,0,0,CSK,No
Delhi Capitals,1,Amit Mishra,0,0,0,0,0.0,3.0,18,0,27,0,9.0,0,0,0,0,CSK,No
Delhi Capitals,1,Avesh Khan,0,0,0,0,0.0,4.0,24,0,23,2,5.8,0,0,0,0,CSK,No
